מק"ט,שם פריט,מלאי עדכני,תקן,כמות חוסר,כמות להזמנה,הסבר
1101,חסם עורקים,19,19,0,0,מלאי תקין או גדול מהתקן בסניף
1102,פלסטר,589,320,0,0,מלאי תקין או גדול מהתקן בסניף
1103,אגד (גלילים),135,140,5,5,סופק במלואו (כולל עיגול חבילות)
1104,פד גזה סטרילי 10*10,860,600,0,0,מלאי תקין או גדול מהתקן בסניף
1105,פד גזה סטרילי 5*5,670,600,0,0,מלאי תקין או גדול מהתקן בסניף
1106,שמיכות מילוט,36,19,0,0,מלאי תקין או גדול מהתקן בסניף
1108,לויקופלסט/טרנספר,21,22,1,1,סופק במלואו (כולל עיגול חבילות)
1109,תחבושת אלסטית,60,44,0,0,מלאי תקין או גדול מהתקן בסניף
1110,תחבושת בינונית ,20,19,0,0,מלאי תקין או גדול מהתקן בסניף
1111,תחבושת אישית,58,44,0,0,מלאי תקין או גדול מהתקן בסניף
1112,משולש,87,87,0,0,מלאי תקין או גדול מהתקן בסניף
1113,מלע"כ,23,11,0,0,מלאי תקין או גדול מהתקן בסניף
1120,סד לקיבוע מתכוונן,19,15,0,0,מלאי תקין או גדול מהתקן בסניף
1121,תחבושת טקטית - T3 (ישראלית),22,15,0,0,מלאי תקין או גדול מהתקן בסניף
1122,תחבושת אשרמן,28,15,0,0,מלאי תקין או גדול מהתקן בסניף
1125,תחבושת המוסטטית,14,15,1,1,סופק במלואו (כולל עיגול חבילות)
1203,ווסת לגליל חמצן,16,6,0,0,מלאי תקין או גדול מהתקן בסניף
1204,סקשן ידני + קטטר קשיח,18,8,0,0,מלאי תקין או גדול מהתקן בסניף
1207,מסיכת הנשמה מס' 5,21,19,0,0,מלאי תקין או גדול מהתקן בסניף
1208,מסיכת הנשמה מס' 2,24,15,0,0,מלאי תקין או גדול מהתקן בסניף
1209,מסיכת הנשמה מס' 0,15,15,0,0,מלאי תקין או גדול מהתקן בסניף
1210,קטטר לסקשן אדום,22,22,0,0,מלאי תקין או גדול מהתקן בסניף
1211,קטטר לסקשן כחול,25,22,0,0,מלאי תקין או גדול מהתקן בסניף
1213,מנתב אויר 00,25,19,0,0,מלאי תקין או גדול מהתקן בסניף
1214,מנתב אויר 0,26,19,0,0,מלאי תקין או גדול מהתקן בסניף
1215,מנתב אויר 1,27,19,0,0,מלאי תקין או גדול מהתקן בסניף
1216,מנתב אויר 2,21,19,0,0,מלאי תקין או גדול מהתקן בסניף
1217,מנתב אויר 3,39,37,0,0,מלאי תקין או גדול מהתקן בסניף
1218,מנתב אויר 4,20,19,0,0,מלאי תקין או גדול מהתקן בסניף
1219,מסנן ויראלי - מבוגר,49,22,0,0,מלאי תקין או גדול מהתקן בסניף
1220,מסננן ויראלי - ילד,19,19,0,0,מלאי תקין או גדול מהתקן בסניף
1301,מסיכת חמצן מבוגר,73,55,0,0,מלאי תקין או גדול מהתקן בסניף
1302,מסיכת חמצן ילד,32,24,0,0,מלאי תקין או גדול מהתקן בסניף
1402,דוקרנים למד סוכר,260,300,40,100,סופק במלואו (כולל עיגול חבילות)
1403,סטיקים למד סוכר,220,200,0,0,מלאי תקין או גדול מהתקן בסניף
1404,גלוקוג'ל,46,37,0,0,מלאי תקין או גדול מהתקן בסניף
1405,סוללה למד סוכר,41,25,0,0,מלאי תקין או גדול מהתקן בסניף
1407,סטיקים למד סוכר (שור),445,250,0,0,מלאי תקין או גדול מהתקן בסניף
1501,כפפות - S,909,600,0,0,מלאי תקין או גדול מהתקן בסניף
1502,כפפות - M,5299,1500,0,0,מלאי תקין או גדול מהתקן בסניף
1503,כפפות - L,1940,2000,60,0,סופק חלקית - מלאי מרלוג מוגבל
1504,כפפות - XL,1369,1500,131,0,סופק חלקית - מלאי מרלוג מוגבל
1601,ספונג'טה,524,500,0,0,מלאי תקין או גדול מהתקן בסניף
1603,ג'ל לחיטוי ידיים 100 מ"ל,17,11,0,0,מלאי תקין או גדול מהתקן בסניף
1604,מסכת הגנה - N95,15,15,0,0,מלאי תקין או גדול מהתקן בסניף
1607,מסכות כירוגי,400,100,0,0,מלאי תקין או גדול מהתקן בסניף
1639,מגבון לחיטוי,90,100,10,50,סופק במלואו (כולל עיגול חבילות)
1701,ערכת לפתיחת וריד - ללא סליין,48,28,0,0,מלאי תקין או גדול מהתקן בסניף
1705,סליין 0.5 מ"ל,55,28,0,0,מלאי תקין או גדול מהתקן בסניף
1708,פחי מחטים,22,10,0,0,מלאי תקין או גדול מהתקן בסניף
1712,פח מחטים 18 ליטר,1,2,1,0,חוסר מלאי מוחלט במרלו"ג
1801,צווארון מתכוונן,8,8,0,0,מלאי תקין או גדול מהתקן בסניף
